277.5000 	EXP 	msgFeedback: autoDraw = True
278.6810 	EXP 	New trial (rep=1, index=8): OrderedDict([('word', u'red'), ('color', u'red'), ('congruent', 1), ('corrAns', u'left')])
278.7933 	EXP 	msgFeedback: autoDraw = False
278.7933 	EXP 	stimuli: color = u'red (named)'
278.7933 	EXP 	stimuli: text = u'red'
278.7933 	EXP 	hint: autoDraw = True
279.2118 	EXP 	stimuli: autoDraw = True
279.7946 	DATA 	Keypress: left
280.1126 	EXP 	stimuli: autoDraw = False
280.1126 	EXP 	hint: autoDraw = False
280.1126 	EXP 	msgFeedback: text = 'Correct! RT=0.584'
280.1126 	EXP 	msgFeedback: autoDraw = True
281.2953 	EXP 	New trial (rep=1, index=9): OrderedDict([('word', u'red'), ('color', u'green'), ('congruent', 0), ('corrAns', u'down')])
281.3109 	EXP 	msgFeedback: autoDraw = False
281.3109 	EXP 	msgFeedback: autoDraw = False
281.3109 	EXP 	stimuli: color = u'green (named)'
281.3109 	EXP 	stimuli: text = u'red'
281.3109 	EXP 	hint: autoDraw = True
281.8232 	EXP 	stimuli: autoDraw = True
282.5241 	DATA 	Keypress: down
282.8340 	EXP 	stimuli: autoDraw = False
282.8340 	EXP 	hint: autoDraw = False
282.8340 	EXP 	msgFeedback: text = 'Correct! RT=0.702'
282.8340 	EXP 	msgFeedback: autoDraw = True
284.0243 	EXP 	New trial (rep=1, index=10): OrderedDict([('word', u'blue'), ('color', u'blue'), ('congruent', 1), ('corrAns', u'right')])
284.1377 	EXP 	msgFeedback: autoDraw = False
284.1377 	EXP 	msgFeedback: autoDraw = False
284.1377 	EXP 	stimuli: color = u'blue (named)'
284.1377 	EXP 	stimuli: text = u'blue'
284.1377 	EXP 	hint: autoDraw = True
284.5543 	EXP 	stimuli: autoDraw = True
285.1366 	DATA 	Keypress: right
285.4188 	EXP 	stimuli: autoDraw = False
285.4188 	EXP 	hint: autoDraw = False
285.4188 	EXP 	msgFeedback: text = 'Correct! RT=0.583'
285.4188 	EXP 	msgFeedback: autoDraw = True
286.6377 	EXP 	New trial (rep=1, index=11): OrderedDict([('word', u'red'), ('color', u'green'), ('congruent', 0), ('corrAns', u'down')])
286.7380 	EXP 	msgFeedback: autoDraw = False
286.7380 	EXP 	msgFeedback: autoDraw = False
286.7380 	EXP 	stimuli: color = u'green (named)'
286.7380 	EXP 	stimuli: text = u'red'
286.7380 	EXP 	hint: autoDraw = True
287.1669 	EXP 	stimuli: autoDraw = True
288.0665 	DATA 	Keypress: down
288.3493 	EXP 	stimuli: autoDraw = False
288.3493 	EXP 	hint: autoDraw = False
288.3493 	EXP 	msgFeedback: text = 'Correct! RT=0.900'
288.3493 	EXP 	msgFeedback: autoDraw = True
290.1279 	EXP 	msgFeedback: autoDraw = False
290.1279 	EXP 	msgFeedback: autoDraw = False
290.1279 	EXP 	text: autoDraw = True
294.3737 	DATA 	Keypress: space
294.5667 	EXP 	Imported conditions.xlsx as conditions, 45 conditions, 4 params
294.5716 	EXP 	Created sequence: random, trialTypes=45, nReps=4, seed=None
294.5754 	EXP 	New trial (rep=0, index=0): OrderedDict([('word', u'green'), ('color', u'blue'), ('congruent', 0), ('corrAns', u'right')])
294.6898 	EXP 	text: autoDraw = False
294.6898 	EXP 	stimuli: color = u'blue (named)'
294.6898 	EXP 	stimuli: text = u'green'
294.6898 	EXP 	hint: autoDraw = True
295.1055 	EXP 	stimuli: autoDraw = True
297.3869 	DATA 	Keypress: right
297.3993 	EXP 	New trial (rep=0, index=1): OrderedDict([('word', u'red'), ('color', u'blue'), ('congruent', 0), ('corrAns', u'right')])
297.4913 	EXP 	stimuli: autoDraw = False
297.4913 	EXP 	hint: autoDraw = False
297.4913 	EXP 	stimuli: color = u'blue (named)'
297.4913 	EXP 	stimuli: text = u'red'
297.4913 	EXP 	hint: autoDraw = True
297.9184 	EXP 	stimuli: autoDraw = True
298.6412 	DATA 	Keypress: right
298.6596 	EXP 	New trial (rep=0, index=2): OrderedDict([('word', u'blue'), ('color', u'blue'), ('congruent', 1), ('corrAns', u'right')])
298.7621 	EXP 	stimuli: autoDraw = False
298.7621 	EXP 	hint: autoDraw = False
298.7621 	EXP 	stimuli: color = u'blue (named)'
298.7621 	EXP 	stimuli: text = u'blue'
298.7621 	EXP 	hint: autoDraw = True
299.1836 	EXP 	stimuli: autoDraw = True
299.6338 	DATA 	Keypress: right
299.6433 	EXP 	New trial (rep=0, index=3): OrderedDict([('word', u'blue'), ('color', u'blue'), ('congruent', 1), ('corrAns', u'right')])
299.6564 	EXP 	stimuli: autoDraw = False
299.6564 	EXP 	hint: autoDraw = False
299.6564 	EXP 	stimuli: color = u'blue (named)'
299.6564 	EXP 	stimuli: text = u'blue'
299.6564 	EXP 	hint: autoDraw = True
300.1647 	EXP 	stimuli: autoDraw = True
300.5557 	DATA 	Keypress: right
300.5740 	EXP 	New trial (rep=0, index=4): OrderedDict([('word', u'red'), ('color', u'red'), ('congruent', 1), ('corrAns', u'left')])
300.6668 	EXP 	stimuli: autoDraw = False
300.6668 	EXP 	hint: autoDraw = False
300.6668 	EXP 	stimuli: color = u'red (named)'
300.6668 	EXP 	stimuli: text = u'red'
300.6668 	EXP 	hint: autoDraw = True
301.1009 	EXP 	stimuli: autoDraw = True
301.6979 	DATA 	Keypress: left
