177.5844 	EXP 	New trial (rep=1, index=10): OrderedDict([('word', u'blue'), ('color', u'blue'), ('congruent', 1), ('corrAns', u'right')])
177.7370 	EXP 	msgFeedback: autoDraw = False
177.7370 	EXP 	msgFeedback: autoDraw = False
177.7370 	EXP 	stimuli: color = u'blue (named)'
177.7370 	EXP 	stimuli: text = u'blue'
177.7370 	EXP 	hint: autoDraw = True
178.1146 	EXP 	stimuli: autoDraw = True
178.6471 	DATA 	Keypress: right
179.0426 	EXP 	stimuli: autoDraw = False
179.0426 	EXP 	hint: autoDraw = False
179.0426 	EXP 	msgFeedback: text = 'Correct! RT=0.533'
179.0426 	EXP 	msgFeedback: autoDraw = True
180.1629 	EXP 	New trial (rep=1, index=11): OrderedDict([('word', u'blue'), ('color', u'red'), ('congruent', 0), ('corrAns', u'left')])
180.1793 	EXP 	msgFeedback: autoDraw = False
180.1793 	EXP 	stimuli: color = u'red (named)'
180.1793 	EXP 	stimuli: text = u'blue'
180.1793 	EXP 	hint: autoDraw = True
180.6933 	EXP 	stimuli: autoDraw = True
181.3274 	DATA 	Keypress: left
181.7143 	EXP 	stimuli: autoDraw = False
181.7143 	EXP 	hint: autoDraw = False
181.7143 	EXP 	msgFeedback: text = 'Correct! RT=0.635'
181.7143 	EXP 	msgFeedback: autoDraw = True
183.6196 	EXP 	msgFeedback: autoDraw = False
183.6196 	EXP 	text: autoDraw = True
188.7717 	DATA 	Keypress: space
189.0807 	EXP 	Imported conditions.xlsx as conditions, 45 conditions, 4 params
189.0880 	EXP 	Created sequence: random, trialTypes=45, nReps=4, seed=None
189.0937 	EXP 	New trial (rep=0, index=0): OrderedDict([('word', u'green'), ('color', u'green'), ('congruent', 1), ('corrAns', u'down')])
189.2629 	EXP 	text: autoDraw = False
189.2629 	EXP 	stimuli: color = u'green (named)'
189.2629 	EXP 	stimuli: text = u'green'
189.2629 	EXP 	hint: autoDraw = True
189.6170 	EXP 	stimuli: autoDraw = True
190.2874 	DATA 	Keypress: down
190.3144 	EXP 	New trial (rep=0, index=1): OrderedDict([('word', u'red'), ('color', u'blue'), ('congruent', 0), ('corrAns', u'right')])
190.4515 	EXP 	stimuli: autoDraw = False
190.4515 	EXP 	hint: autoDraw = False
190.4515 	EXP 	stimuli: color = u'blue (named)'
190.4515 	EXP 	stimuli: text = u'red'
190.4515 	EXP 	hint: autoDraw = True
190.8492 	EXP 	stimuli: autoDraw = True
191.5696 	DATA 	Keypress: right
191.5847 	EXP 	New trial (rep=0, index=2): OrderedDict([('word', u'green'), ('color', u'blue'), ('congruent', 0), ('corrAns', u'right')])
191.7561 	EXP 	stimuli: autoDraw = False
191.7561 	EXP 	hint: autoDraw = False
191.7561 	EXP 	stimuli: color = u'blue (named)'
191.7561 	EXP 	stimuli: text = u'green'
191.7561 	EXP 	hint: autoDraw = True
192.1143 	EXP 	stimuli: autoDraw = True
192.8006 	DATA 	Keypress: right
192.8154 	EXP 	New trial (rep=0, index=3): OrderedDict([('word', u'red'), ('color', u'red'), ('congruent', 1), ('corrAns', u'left')])
192.9520 	EXP 	stimuli: autoDraw = False
192.9520 	EXP 	hint: autoDraw = False
192.9520 	EXP 	stimuli: color = u'red (named)'
192.9520 	EXP 	stimuli: text = u'red'
192.9520 	EXP 	hint: autoDraw = True
193.3456 	EXP 	stimuli: autoDraw = True
193.8812 	DATA 	Keypress: left
193.8959 	EXP 	New trial (rep=0, index=4): OrderedDict([('word', u'blue'), ('color', u'blue'), ('congruent', 1), ('corrAns', u'right')])
194.0474 	EXP 	stimuli: autoDraw = False
194.0474 	EXP 	hint: autoDraw = False
194.0474 	EXP 	stimuli: color = u'blue (named)'
194.0474 	EXP 	stimuli: text = u'blue'
194.0474 	EXP 	hint: autoDraw = True
194.4276 	EXP 	stimuli: autoDraw = True
195.0844 	DATA 	Keypress: right
195.1077 	EXP 	New trial (rep=0, index=5): OrderedDict([('word', u'blue'), ('color', u'blue'), ('congruent', 1), ('corrAns', u'right')])
195.1228 	EXP 	stimuli: autoDraw = False
195.1228 	EXP 	hint: autoDraw = False
195.1228 	EXP 	stimuli: color = u'blue (named)'
195.1228 	EXP 	stimuli: text = u'blue'
195.1228 	EXP 	hint: autoDraw = True
195.6402 	EXP 	stimuli: autoDraw = True
196.1376 	DATA 	Keypress: right
196.1519 	EXP 	New trial (rep=0, index=6): OrderedDict([('word', u'green'), ('color', u'green'), ('congruent', 1), ('corrAns', u'down')])
196.3212 	EXP 	stimuli: autoDraw = False
196.3212 	EXP 	hint: autoDraw = False
196.3212 	EXP 	stimuli: color = u'green (named)'
196.3212 	EXP 	stimuli: text = u'green'
196.3212 	EXP 	hint: autoDraw = True
196.6742 	EXP 	stimuli: autoDraw = True
197.2099 	DATA 	Keypress: right
197.2250 	EXP 	New trial (rep=0, index=7): OrderedDict([('word', u'blue'), ('color', u'blue'), ('congruent', 1), ('corrAns', u'right')])
197.3649 	DATA 	Keypress: down
197.3789 	EXP 	stimuli: autoDraw = False
197.3789 	EXP 	hint: autoDraw = False
197.3789 	EXP 	stimuli: color = u'blue (named)'
197.3789 	EXP 	stimuli: text = u'blue'
197.3789 	EXP 	hint: autoDraw = True
197.7566 	EXP 	stimuli: autoDraw = True
198.5284 	DATA 	Keypress: right
198.5434 	EXP 	New trial (rep=0, index=8): OrderedDict([('word', u'blue'), ('color', u'blue'), ('congruent', 1), ('corrAns', u'right')])
