231.2654 	EXP 	stimuli: text = u'blue'
231.2654 	EXP 	hint: autoDraw = True
231.6451 	EXP 	stimuli: autoDraw = True
232.5620 	DATA 	Keypress: down
232.9550 	EXP 	stimuli: autoDraw = False
232.9550 	EXP 	hint: autoDraw = False
232.9550 	EXP 	msgFeedback: text = 'Correct! RT=0.918'
232.9550 	EXP 	msgFeedback: autoDraw = True
234.0756 	EXP 	New trial (rep=1, index=7): OrderedDict([('word', u'blue'), ('color', u'red'), ('congruent', 0), ('corrAns', u'left')])
234.0921 	EXP 	msgFeedback: autoDraw = False
234.0921 	EXP 	msgFeedback: autoDraw = False
234.0921 	EXP 	stimuli: color = u'red (named)'
234.0921 	EXP 	stimuli: text = u'blue'
234.0921 	EXP 	hint: autoDraw = True
234.6065 	EXP 	stimuli: autoDraw = True
235.1146 	DATA 	Keypress: left
235.5093 	EXP 	stimuli: autoDraw = False
235.5093 	EXP 	hint: autoDraw = False
235.5093 	EXP 	msgFeedback: text = 'Correct! RT=0.509'
235.5093 	EXP 	msgFeedback: autoDraw = True
236.6219 	EXP 	New trial (rep=1, index=8): OrderedDict([('word', u'green'), ('color', u'green'), ('congruent', 1), ('corrAns', u'down')])
236.7917 	EXP 	msgFeedback: autoDraw = False
236.7917 	EXP 	msgFeedback: autoDraw = False
236.7917 	EXP 	stimuli: color = u'green (named)'
236.7917 	EXP 	stimuli: text = u'green'
236.7917 	EXP 	hint: autoDraw = True
237.1544 	EXP 	stimuli: autoDraw = True
238.0040 	DATA 	Keypress: down
238.4036 	EXP 	stimuli: autoDraw = False
238.4036 	EXP 	hint: autoDraw = False
238.4036 	EXP 	msgFeedback: text = 'Correct! RT=0.861'
238.4036 	EXP 	msgFeedback: autoDraw = True
239.5184 	EXP 	New trial (rep=1, index=9): OrderedDict([('word', u'green'), ('color', u'green'), ('congruent', 1), ('corrAns', u'down')])
239.5355 	EXP 	msgFeedback: autoDraw = False
239.5355 	EXP 	msgFeedback: autoDraw = False
239.5355 	EXP 	stimuli: color = u'green (named)'
239.5355 	EXP 	stimuli: text = u'green'
239.5355 	EXP 	hint: autoDraw = True
240.0490 	EXP 	stimuli: autoDraw = True
240.6207 	DATA 	Keypress: down
241.0208 	EXP 	stimuli: autoDraw = False
241.0208 	EXP 	hint: autoDraw = False
241.0208 	EXP 	msgFeedback: text = 'Correct! RT=0.584'
241.0208 	EXP 	msgFeedback: autoDraw = True
242.1476 	EXP 	New trial (rep=1, index=10): OrderedDict([('word', u'green'), ('color', u'blue'), ('congruent', 0), ('corrAns', u'right')])
242.1643 	EXP 	msgFeedback: autoDraw = False
242.1643 	EXP 	stimuli: color = u'blue (named)'
242.1643 	EXP 	stimuli: text = u'green'
242.1643 	EXP 	hint: autoDraw = True
242.6790 	EXP 	stimuli: autoDraw = True
243.5457 	DATA 	Keypress: right
243.9405 	EXP 	stimuli: autoDraw = False
243.9405 	EXP 	hint: autoDraw = False
243.9405 	EXP 	msgFeedback: text = 'Correct! RT=0.877'
243.9405 	EXP 	msgFeedback: autoDraw = True
245.0612 	EXP 	New trial (rep=1, index=11): OrderedDict([('word', u'red'), ('color', u'green'), ('congruent', 0), ('corrAns', u'down')])
245.2006 	EXP 	msgFeedback: autoDraw = False
245.2006 	EXP 	msgFeedback: autoDraw = False
245.2006 	EXP 	stimuli: color = u'green (named)'
245.2006 	EXP 	stimuli: text = u'red'
245.2006 	EXP 	hint: autoDraw = True
245.5935 	EXP 	stimuli: autoDraw = True
246.3295 	DATA 	Keypress: down
246.7165 	EXP 	stimuli: autoDraw = False
246.7165 	EXP 	hint: autoDraw = False
246.7165 	EXP 	msgFeedback: text = 'Correct! RT=0.737'
246.7165 	EXP 	msgFeedback: autoDraw = True
248.6173 	EXP 	msgFeedback: autoDraw = False
248.6173 	EXP 	msgFeedback: autoDraw = False
248.6173 	EXP 	text: autoDraw = True
256.9584 	DATA 	Keypress: space
257.2778 	EXP 	Imported conditions.xlsx as conditions, 45 conditions, 4 params
257.2853 	EXP 	Created sequence: random, trialTypes=45, nReps=4, seed=None
257.2909 	EXP 	New trial (rep=0, index=0): OrderedDict([('word', u'red'), ('color', u'red'), ('congruent', 1), ('corrAns', u'left')])
257.3073 	EXP 	text: autoDraw = False
257.3073 	EXP 	stimuli: color = u'red (named)'
257.3073 	EXP 	stimuli: text = u'red'
257.3073 	EXP 	hint: autoDraw = True
257.8137 	EXP 	stimuli: autoDraw = True
258.5047 	DATA 	Keypress: left
258.5321 	EXP 	New trial (rep=0, index=1): OrderedDict([('word', u'green'), ('color', u'green'), ('congruent', 1), ('corrAns', u'down')])
258.7027 	EXP 	stimuli: autoDraw = False
258.7027 	EXP 	hint: autoDraw = False
258.7027 	EXP 	stimuli: color = u'green (named)'
258.7027 	EXP 	stimuli: text = u'green'
258.7027 	EXP 	hint: autoDraw = True
259.0602 	EXP 	stimuli: autoDraw = True
260.2086 	DATA 	Keypress: down
260.2239 	EXP 	New trial (rep=0, index=2): OrderedDict([('word', u'green'), ('color', u'blue'), ('congruent', 0), ('corrAns', u'right')])
260.2396 	EXP 	stimuli: autoDraw = False
260.2396 	EXP 	hint: autoDraw = False
260.2396 	EXP 	stimuli: color = u'blue (named)'
260.2396 	EXP 	stimuli: text = u'green'
260.2396 	EXP 	hint: autoDraw = True
260.7557 	EXP 	stimuli: autoDraw = True
261.5846 	DATA 	Keypress: right
261.6082 	EXP 	New trial (rep=0, index=3): OrderedDict([('word', u'green'), ('color', u'green'), ('congruent', 1), ('corrAns', u'down')])
261.6238 	EXP 	stimuli: autoDraw = False
261.6238 	EXP 	hint: autoDraw = False
261.6238 	EXP 	stimuli: color = u'green (named)'
261.6238 	EXP 	stimuli: text = u'green'
261.6238 	EXP 	hint: autoDraw = True
262.1371 	EXP 	stimuli: autoDraw = True
262.7223 	DATA 	Keypress: down
262.7380 	EXP 	New trial (rep=0, index=4): OrderedDict([('word', u'blue'), ('color', u'blue'), ('congruent', 1), ('corrAns', u'right')])
262.8931 	EXP 	stimuli: autoDraw = False
262.8931 	EXP 	hint: autoDraw = False
262.8931 	EXP 	stimuli: color = u'blue (named)'
262.8931 	EXP 	stimuli: text = u'blue'
262.8931 	EXP 	hint: autoDraw = True
263.2697 	EXP 	stimuli: autoDraw = True
263.8542 	DATA 	Keypress: right
263.8692 	EXP 	New trial (rep=0, index=5): OrderedDict([('word', u'blue'), ('color', u'blue'), ('congruent', 1), ('corrAns', u'right')])
263.8852 	EXP 	stimuli: autoDraw = False
263.8852 	EXP 	hint: autoDraw = False
263.8852 	EXP 	stimuli: color = u'blue (named)'
263.8852 	EXP 	stimuli: text = u'blue'
263.8852 	EXP 	hint: autoDraw = True
264.4010 	EXP 	stimuli: autoDraw = True
264.9089 	DATA 	Keypress: right
264.9233 	EXP 	New trial (rep=0, index=6): OrderedDict([('word', u'blue'), ('color', u'blue'), ('congruent', 1), ('corrAns', u'right')])
264.9388 	EXP 	stimuli: autoDraw = False
264.9388 	EXP 	hint: autoDraw = False
264.9388 	EXP 	stimuli: color = u'blue (named)'
264.9388 	EXP 	stimuli: text = u'blue'
264.9388 	EXP 	hint: autoDraw = True
265.4497 	EXP 	stimuli: autoDraw = True
265.8503 	DATA 	Keypress: right
265.8743 	EXP 	New trial (rep=0, index=7): OrderedDict([('word', u'red'), ('color', u'red'), ('congruent', 1), ('corrAns', u'left')])
266.0119 	EXP 	stimuli: autoDraw = False
266.0119 	EXP 	hint: autoDraw = False
266.0119 	EXP 	stimuli: color = u'red (named)'
266.0119 	EXP 	stimuli: text = u'red'
266.0119 	EXP 	hint: autoDraw = True
266.3997 	EXP 	stimuli: autoDraw = True
266.9816 	DATA 	Keypress: left
266.9970 	EXP 	New trial (rep=0, index=8): OrderedDict([('word', u'green'), ('color', u'green'), ('congruent', 1), ('corrAns', u'down')])
267.1700 	EXP 	stimuli: autoDraw = False
267.1700 	EXP 	hint: autoDraw = False
267.1700 	EXP 	stimuli: color = u'green (named)'
267.1700 	EXP 	stimuli: text = u'green'
267.1700 	EXP 	hint: autoDraw = True
267.5313 	EXP 	stimuli: autoDraw = True
267.9967 	DATA 	Keypress: down
268.0117 	EXP 	New trial (rep=0, index=9): OrderedDict([('word', u'red'), ('color', u'green'), ('congruent', 0), ('corrAns', u'down')])
268.1477 	EXP 	stimuli: autoDraw = False
268.1477 	EXP 	hint: autoDraw = False
268.1477 	EXP 	stimuli: color = u'green (named)'
268.1477 	EXP 	stimuli: text = u'red'
268.1477 	EXP 	hint: autoDraw = True
268.5466 	EXP 	stimuli: autoDraw = True
269.0499 	DATA 	Keypress: down
269.0650 	EXP 	New trial (rep=0, index=10): OrderedDict([('word', u'red'), ('color', u'red'), ('congruent', 1), ('corrAns', u'left')])
269.0808 	EXP 	stimuli: autoDraw = False
269.0808 	EXP 	hint: autoDraw = False
269.0808 	EXP 	stimuli: color = u'red (named)'
269.0808 	EXP 	stimuli: text = u'red'
269.0808 	EXP 	hint: autoDraw = True
269.5925 	EXP 	stimuli: autoDraw = True
270.1373 	DATA 	Keypress: left
270.1519 	EXP 	New trial (rep=0, index=11): OrderedDict([('word', u'red'), ('color', u'red'), ('congruent', 1), ('corrAns', u'left')])
270.1679 	EXP 	stimuli: autoDraw = False
270.1679 	EXP 	hint: autoDraw = False
270.1679 	EXP 	stimuli: color = u'red (named)'
270.1679 	EXP 	stimuli: text = u'red'
270.1679 	EXP 	hint: autoDraw = True
270.6759 	EXP 	stimuli: autoDraw = True
271.0353 	DATA 	Keypress: left
271.0594 	EXP 	New trial (rep=0, index=12): OrderedDict([('word', u'green'), ('color', u'green'), ('congruent', 1), ('corrAns', u'down')])
271.2310 	EXP 	stimuli: autoDraw = False
271.2310 	EXP 	hint: autoDraw = False
271.2310 	EXP 	stimuli: color = u'green (named)'
271.2310 	EXP 	stimuli: text = u'green'
271.2310 	EXP 	hint: autoDraw = True
271.5925 	EXP 	stimuli: autoDraw = True
272.0675 	DATA 	Keypress: down
272.0915 	EXP 	New trial (rep=0, index=13): OrderedDict([('word', u'red'), ('color', u'red'), ('congruent', 1), ('corrAns', u'left')])
272.2339 	EXP 	stimuli: autoDraw = False
272.2339 	EXP 	hint: autoDraw = False
272.2339 	EXP 	stimuli: color = u'red (named)'
272.2339 	EXP 	stimuli: text = u'red'
272.2339 	EXP 	hint: autoDraw = True
272.6250 	EXP 	stimuli: autoDraw = True
273.1257 	DATA 	Keypress: left
273.1502 	EXP 	New trial (rep=0, index=14): OrderedDict([('word', u'green'), ('color', u'green'), ('congruent', 1), ('corrAns', u'down')])
273.3196 	EXP 	stimuli: autoDraw = False
273.3196 	EXP 	hint: autoDraw = False
273.3196 	EXP 	stimuli: color = u'green (named)'
273.3196 	EXP 	stimuli: text = u'green'
273.3196 	EXP 	hint: autoDraw = True
273.6898 	EXP 	stimuli: autoDraw = True
274.1343 	DATA 	Keypress: down
274.1495 	EXP 	New trial (rep=0, index=15): OrderedDict([('word', u'red'), ('color', u'red'), ('congruent', 1), ('corrAns', u'left')])
274.2864 	EXP 	stimuli: autoDraw = False
274.2864 	EXP 	hint: autoDraw = False
